"stop_id","stop_name","stop_lat","stop_lon"
"70120","Washington Street",42.344329,-71.142385
"70256","Riverway",42.331871,-71.111961
"70064","Davis",42.39674,-71.121815
"70174","Reservoir",42.335181,-71.147879
"70100","Wollaston",42.266788,-71.020457
"70035","Malden Center",42.426662,-71.074314
"70201","Government Center",42.359705,-71.059215
"70115","Chiswick Road",42.34054,-71.15114
"70125","Warren Street",42.348819,-71.140051
"70072","Kendall/MIT",42.362434,-71.085591
"70092","Shawmut",42.293126,-71.065738
"70173","Chestnut Hill",42.326782,-71.16478
"70215","Kent Street",42.344117,-71.114097
"70095","JFK/UMass",42.320418,-71.052287
"70047","Airport",42.374262,-71.030395
"70073","Charles/MGH",42.361187,-71.071505
"70091","Shawmut",42.293126,-71.065738
"70223","Summit Avenue",42.34112,-71.125652
"70251","Fenwood Road",42.33374,-71.105721
"70020","Downtown Crossing",42.355518,-71.060225
"70263","Cedar Grove",42.279546,-71.060392
"70177","Beaconsfield",42.335912,-71.140903
